"","state","zip","50_1","50_2","50_3","50_4","50_5","50_6","50_7","50_8","50_9","51_1","51_2","51_3","52_1","52_2","52_3","53_1","53_2","53_3","54_1","54_2","54_3","55_1","55_2","55_3","56_1","56_2","56_3","57_1","57_2","57_3","58_1","58_2","58_3","58_4","58_5","58_6","58_7","58_8","58_9","58_10","58_11","58_12","58_13","59_1","59_2","59_3","59_4","59_5","59_6","59_7","59_8","59_9","59_10","59_11","59_12","59_13","59_14","59_15","59_16","59_17","59_18","59_19","59_20","59_21","60_1","60_2","60_3","60_4","60_5","60_6","60_7","60_8","60_9","61_1","61_2","61_3","61_4","61_5","61_6","61_7","62_1","62_2","62_3","62_4","62_5","62_6","62_7","62_8","62_9","62_10","63_1","63_2","63_3","63_4","63_5","63_6","64_1","64_2","64_3","64_4","64_5","64_6","64_7","64_8","64_9","64_10","64_11","65_1","65_2","65_3","65_4","65_5","65_6","66_1","66_2","66_3","66_4","66_5","66_6","66_7","66_8","67_1","67_2","67_3","67_4","67_5","67_6","67_7","67_8","67_9","67_10","67_11","67_12","68_1","68_2","68_3","68_4","68_5","68_6","68_7","69_1","69_2","69_3","69_4","69_5","69_6","70_1","70_2","70_3","70_4","70_5","70_6","70_7","71_1","71_2","71_3","71_4","71_5","72_1","72_2","72_3","72_4","72_5","72_6","73_1","73_2","73_3","73_4","73_5","73_6","73_7","73_8","73_9","73_10","73_11","74_1","74_2","74_3","74_4","74_5","74_6","74_7","74_8","74_9","74_10","74_11","74_12","74_13","74_14","75_1","75_2","75_3","75_4","75_5","75_6","75_7","75_8","76_1","76_2","76_3","76_4","76_5","76_6","76_7","76_8","76_9","77_1","77_2","77_3","77_4","78_1","78_2","78_3","78_4","79_1","79_2","79_3","79_4","79_5","79_6","79_7","79_8","79_9","79_10","80_1","80_2","80_3","80_4","80_5","80_6","80_7","80_8","80_9","81_1","81_2","81_3","81_4","81_5","81_6","81_7","81_8","82_1","82_2","82_3","82_4","82_5","82_6","82_7","82_8","82_9","82_10","82_11","82_12","82_13","82_14","82_15","82_16","82_17","83_1","83_2","83_3","83_4","83_5","83_6","83_7","84_1","84_2","84_3","84_4","84_5","84_6","84_7","85_1","85_2","85_3","85_4","85_5","85_6","86_1","86_2","86_3","87_1","87_2","87_3","88_1","88_2","88_3","88_4","88_5","88_6","88_7","89_1","89_2","89_3","89_4","89_5","90_1","90_2","90_3","90_4","91_1","91_2","91_3","91_4","91_5","92_1","92_2","92_3","93_1","93_2","93_3","93_4","93_5","94_1","94_2","94_3","94_4","94_5","94_6","95_1","95_2","95_3","95_4","95_5","95_6","96_1","96_2","96_3","96_4","96_5","96_6","96_7","97_1","97_2","97_3","97_4","97_5","97_6","98_1","98_2","98_3","98_4","98_5","99_1","99_2","99_3","99_4","99_5","99_6","99_7","99_8","100_1","100_2","100_3","100_4","100_5","101_1","101_2","101_3","101_4","101_5","102_1","102_2","102_3","102_4","102_5","102_6","102_7","102_8","102_9","102_10","102_11","103_1","103_2","103_3","103_4","103_5","104_1","104_2","104_3","104_4","104_5","104_6","105_1","105_2","105_3","105_4","105_5","105_6","105_7","105_8","105_9","105_10","106_1","106_2","106_3","106_4","106_5","106_6","106_7","106_8","107_1","107_2","107_3","107_4","107_5","107_6","107_7","107_8","107_9","107_10","109_1","109_2","109_3","109_4","110_1","110_2","110_3","110_4","110_5","110_6","110_7","110_8","110_9","111_1","111_2","111_3","111_4","111_5","111_6","111_7","111_8","115_1","115_2","115_3","115_4","115_5","117_1","117_2","117_3","117_4","117_5","117_6","118_1","118_2","118_3","118_4","118_5","118_6","118_7","118_8","119_1","119_2","119_3","119_4","120_1","120_2","120_3","120_4","120_5","120_6","121_1","121_2","121_3","121_4","121_5","121_6","121_7","lat","long","city","state.region"
"1","AL","350",2,0,0,2,0,0,4,0,12,2,18,0,10,4,6,11,9,0,0,20,0,1,19,0,4,16,0,6,12,2,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,11,0,1,0,0,1,2,0,0,14,2,0,0,2,7,0,5,6,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,18,0,1,0,1,0,0,0,0,0,0,16,1,3,0,0,0,11,1,0,0,7,0,0,1,11,0,0,0,0,0,0,0,0,0,0,9,2,1,6,0,1,0,10,1,7,2,3,0,7,0,1,2,2,0,3,12,0,3,4,1,12,18,0,0,0,2,0,2,0,1,0,0,17,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,11,0,1,4,0,2,12,0,0,1,0,1,19,0,0,1,7,5,8,0,7,6,0,0,0,0,2,0,3,2,0,0,10,0,0,0,1,9,0,16,0,0,4,0,0,0,0,0,10,0,1,1,0,1,3,0,0,0,0,0,0,1,1,2,2,1,7,1,2,0,7,0,4,1,4,0,10,1,1,8,0,3,1,7,6,10,4,14,6,0,5,4,1,8,1,0,1,18,0,2,0,0,8,9,2,1,2,17,0,1,0,3,3,14,0,20,0,0,0,3,8,3,6,0,0,6,0,0,0,1,13,6,2,0,8,3,0,1,8,6,0,0,5,1,14,3,3,0,0,2,10,5,1,0,1,1,0,10,0,4,4,2,1,18,0,0,1,10,0,0,0,4,0,1,0,2,3,0,0,0,5,15,0,20,0,0,0,0,0,2,2,15,0,0,0,1,0,0,0,3,14,3,0,0,0,0,0,2,5,11,0,0,0,0,1,0,1,11,9,0,0,0,0,0,0,0,1,0,19,0,5,11,1,0,3,0,0,0,17,2,1,0,0,13,0,0,4,3,0,1,2,0,0,0,8,8,1,12,2,6,0,3,16,0,0,1,0,10,3,5,0,0,1,1,34.167893,-86.82506,"Cullman","South"
"2","AL","351",0,0,0,2,0,0,2,1,9,1,13,0,5,7,2,5,9,0,0,14,0,0,13,1,3,10,1,6,5,3,0,8,5,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,14,0,0,0,1,5,0,4,4,0,13,0,0,0,0,0,0,1,0,14,0,0,0,0,0,10,0,2,1,0,0,0,0,0,0,1,8,0,6,0,0,0,6,0,0,0,6,0,1,1,11,0,0,0,0,0,0,0,0,0,0,3,2,1,5,3,0,0,3,0,2,5,0,1,6,0,1,1,2,0,2,8,0,3,0,1,10,10,0,0,0,3,1,4,0,0,0,0,10,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,2,1,1,7,0,2,0,0,5,0,0,3,0,0,10,0,0,1,0,0,13,0,0,1,7,4,3,0,8,2,0,0,0,0,0,0,3,1,2,0,6,0,0,0,0,6,0,10,0,2,2,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,1,0,6,0,2,0,5,0,3,3,5,0,2,1,2,3,0,0,5,4,5,5,4,6,6,2,3,2,1,4,0,0,4,10,2,2,0,0,7,3,2,2,1,11,0,2,0,0,2,12,1,13,0,0,0,1,6,1,6,0,0,6,0,0,0,0,8,2,2,1,5,3,0,1,7,2,0,0,4,1,10,2,1,0,1,3,5,2,1,0,2,1,0,7,0,1,5,1,1,12,0,0,1,7,0,1,0,1,0,0,0,1,3,1,0,0,2,12,0,11,0,0,1,0,2,3,1,8,0,2,0,0,0,0,0,2,8,1,1,0,0,1,1,1,4,8,0,0,0,1,0,0,0,8,5,0,1,0,0,1,0,0,1,0,11,1,3,7,2,0,1,0,0,1,12,0,1,1,0,12,0,1,1,0,0,0,0,1,0,0,6,5,2,10,0,3,1,4,10,0,0,0,0,7,2,3,0,0,1,1,33.185782,-86.25105,"Sylacauga","South"
"3","AL","352",4,0,0,8,0,0,5,2,23,13,29,0,17,20,5,13,29,0,0,42,0,1,40,1,5,36,1,11,29,2,1,26,14,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,24,6,1,1,0,1,0,0,1,33,5,1,2,3,12,1,9,14,3,36,0,0,0,0,1,0,1,1,42,0,0,0,0,0,34,2,1,1,2,0,0,0,0,1,1,28,3,11,0,0,0,30,3,0,0,9,0,0,0,34,0,0,0,0,0,0,0,0,0,0,8,8,3,11,1,1,2,16,11,1,12,0,0,18,0,6,2,6,1,8,19,0,9,4,0,29,28,0,1,0,12,1,11,1,0,0,0,29,0,0,0,0,1,0,1,2,31,0,0,0,0,0,1,1,0,4,2,20,0,7,0,0,12,0,3,13,0,1,24,0,0,4,0,0,34,0,1,7,16,6,19,1,26,5,0,0,2,0,0,0,7,2,6,0,16,0,0,0,0,18,2,34,0,3,5,0,0,0,0,0,20,3,4,0,0,0,2,0,0,0,3,0,2,1,2,5,6,0,15,0,7,0,14,3,15,4,13,0,5,2,3,20,0,5,7,7,11,19,12,21,16,5,8,7,2,14,1,1,9,26,9,6,1,0,27,8,3,4,3,36,3,0,0,1,10,31,0,42,0,0,0,7,17,3,15,0,0,26,2,0,0,2,12,5,3,7,12,11,0,4,18,10,0,0,14,0,34,2,5,0,1,9,14,11,1,0,4,0,3,18,0,3,18,3,1,31,7,0,3,19,0,8,0,2,0,2,0,0,10,1,0,0,6,36,0,36,0,0,2,1,3,10,3,24,0,4,0,0,0,0,1,11,24,2,1,0,0,3,1,2,8,24,2,0,1,1,0,3,1,36,5,0,1,0,0,1,0,0,1,0,38,2,16,15,4,0,3,0,3,1,37,3,1,1,0,34,0,2,5,1,0,0,1,0,1,1,11,21,7,31,0,10,1,10,29,0,0,2,1,19,7,10,3,0,3,0,33.497055,-86.8057,"Birmingham","South"
"4","AL","354",1,0,0,2,0,0,2,2,8,3,12,0,7,6,2,8,7,0,1,14,0,3,12,0,5,10,0,7,8,0,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,1,0,1,11,2,1,0,0,3,0,6,5,1,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,1,1,1,0,0,0,0,0,1,11,2,2,0,0,0,9,1,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,1,2,4,1,1,0,6,3,1,4,1,1,5,1,1,0,1,0,2,10,0,4,2,0,9,10,0,0,0,4,1,2,3,1,0,0,9,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,2,0,6,0,4,0,0,5,0,0,2,0,0,7,0,0,4,0,2,11,0,1,3,3,3,8,1,11,1,0,0,0,0,1,0,1,1,3,0,5,0,0,0,0,7,0,14,0,0,1,0,0,0,0,0,7,0,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1,1,5,0,2,0,6,1,3,0,8,0,3,0,2,3,0,5,3,2,2,9,4,5,8,2,4,2,1,3,0,0,5,11,1,3,0,0,7,4,4,0,0,12,2,1,0,0,0,15,0,15,0,0,0,2,8,1,4,0,0,7,0,0,0,0,8,3,0,3,2,4,1,2,5,6,0,0,4,0,11,2,2,0,0,3,6,3,0,0,1,2,0,6,0,0,7,2,1,12,1,0,1,8,0,2,0,2,0,0,0,0,2,1,0,0,3,12,0,15,0,0,0,0,0,3,1,6,0,1,0,1,0,0,3,3,7,3,0,1,0,1,0,1,0,11,0,0,0,0,0,3,0,11,4,0,0,0,0,0,0,0,0,0,14,1,4,9,0,0,1,0,0,1,13,0,0,1,1,10,0,1,2,2,0,0,0,1,0,0,5,6,3,11,0,4,0,1,12,0,0,2,0,6,1,3,1,0,3,1,33.193818,-87.56843,"Tuscaloosa","South"
"5","AL","355",2,0,0,2,0,0,0,0,5,1,8,0,4,3,2,4,4,1,0,9,0,0,9,0,1,7,1,3,5,1,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,9,0,1,0,2,4,0,0,2,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,4,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,2,2,4,0,0,0,1,3,1,2,2,0,1,0,2,0,1,0,0,6,0,2,2,0,5,8,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,1,0,1,0,6,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,2,0,0,6,0,0,1,0,0,7,0,0,2,6,1,2,0,7,0,0,0,0,0,0,0,1,1,3,0,4,0,0,0,0,2,0,5,0,1,3,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,3,1,2,2,0,1,0,1,5,0,2,1,0,2,5,2,4,5,0,3,1,0,2,0,0,3,6,1,2,0,0,4,4,1,0,0,9,0,0,0,0,1,8,0,9,0,0,0,1,4,0,4,0,0,8,0,0,0,0,1,4,0,1,3,1,0,0,2,1,0,0,6,0,8,1,0,0,0,1,6,1,0,0,0,0,1,4,0,0,5,0,0,6,2,0,1,3,0,4,0,1,0,0,0,0,1,0,0,0,2,7,0,7,0,1,1,0,0,4,0,3,0,0,0,2,0,0,0,0,4,2,0,2,0,0,1,0,1,7,0,0,0,0,0,0,1,6,3,0,0,0,0,2,0,0,0,0,7,0,1,6,2,0,0,0,0,0,9,0,0,0,0,6,0,0,3,0,0,2,0,1,0,1,0,5,0,7,0,1,1,2,5,0,0,1,1,8,0,1,0,0,0,0,33.828412,-87.27632,"Jasper","South"
"6","AL","356",1,0,0,2,0,0,4,1,18,4,22,0,17,5,4,16,10,0,0,26,0,3,23,0,7,18,1,9,16,1,0,20,6,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,14,3,0,0,0,0,1,0,0,22,3,0,0,0,4,0,10,12,1,24,0,0,0,0,1,0,0,0,26,0,0,0,0,0,23,0,2,0,1,0,0,0,0,0,0,17,2,7,0,0,0,11,2,0,0,11,0,0,2,16,0,0,0,0,0,0,0,0,0,0,10,4,4,6,1,0,0,11,3,5,9,1,0,8,1,7,0,1,0,4,13,0,8,3,0,15,18,0,1,0,5,2,5,1,2,0,0,18,0,0,0,0,0,1,1,0,18,1,0,0,0,0,1,0,0,3,1,12,0,2,0,0,11,0,1,5,0,0,14,1,1,0,2,3,24,0,0,2,10,6,10,0,16,1,0,0,0,0,1,0,7,1,5,0,9,0,0,0,0,11,1,21,0,3,2,0,0,0,0,0,17,0,1,1,0,0,2,0,0,0,1,0,1,1,1,1,3,1,10,0,6,0,6,0,9,5,3,0,9,0,0,13,0,1,3,9,7,10,9,10,14,2,5,0,0,9,1,2,9,21,2,3,0,0,7,9,7,3,4,18,4,0,0,2,2,22,1,25,0,0,0,7,10,2,7,0,0,16,0,0,0,1,9,4,3,2,10,3,0,4,9,12,0,0,5,0,21,2,2,0,1,4,14,6,0,0,0,1,1,8,0,7,8,3,0,17,5,0,4,12,1,2,0,4,1,0,0,0,5,1,0,0,5,21,0,26,0,0,0,0,0,7,0,18,0,1,0,0,0,0,0,3,19,4,0,0,0,0,0,1,6,16,0,0,0,0,0,3,0,17,7,0,2,0,0,1,0,1,1,0,22,1,8,7,9,0,1,0,1,0,23,3,0,0,0,19,0,0,5,2,0,0,0,0,0,0,8,15,3,17,1,8,0,2,22,0,0,2,0,13,2,3,0,1,4,3,34.784028,-87.02767,"Decatur","South"
"7","AL","357",3,0,0,5,0,0,3,0,12,6,16,1,10,9,4,8,14,1,0,23,0,2,20,1,4,19,0,4,19,0,0,15,5,1,0,0,0,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,1,0,0,0,2,0,0,16,4,0,1,0,9,0,5,8,0,21,0,0,0,0,1,0,1,0,23,0,0,0,0,0,21,0,1,1,0,0,0,0,0,0,0,12,2,9,0,0,0,11,0,0,0,7,0,1,4,13,0,0,0,3,0,0,0,0,0,0,7,3,3,5,1,0,0,11,4,1,6,3,0,9,0,6,2,2,1,1,11,0,8,5,0,10,15,0,0,0,6,2,6,1,4,0,0,10,1,0,0,0,1,1,3,0,16,0,0,0,0,0,1,0,1,1,0,14,0,2,0,0,7,0,0,5,0,0,6,0,0,8,2,2,19,0,0,4,5,8,10,0,15,3,0,0,1,0,0,0,1,3,1,0,7,0,0,0,0,15,0,19,0,1,2,0,0,0,1,0,8,1,0,1,0,0,4,1,1,1,0,0,2,1,1,2,2,1,4,1,5,0,10,2,5,2,2,0,12,0,1,3,0,7,8,4,4,5,14,9,9,5,5,1,2,6,0,1,8,18,2,2,1,0,16,4,2,1,2,19,0,1,1,1,3,19,0,23,0,0,0,6,9,3,5,0,0,9,1,0,2,1,10,4,1,3,7,5,2,1,13,4,0,1,5,0,13,6,3,1,0,1,9,7,0,0,5,0,1,10,0,0,11,2,2,14,3,0,4,8,0,4,0,4,0,0,0,1,5,1,0,0,3,20,0,19,0,1,3,0,0,6,1,12,0,2,0,0,0,0,2,5,15,2,0,0,0,1,0,1,1,17,0,0,0,0,1,3,0,16,5,0,2,0,0,2,1,0,0,0,17,3,5,9,3,0,3,0,2,1,15,4,0,4,0,16,0,2,2,1,2,0,0,0,0,0,8,11,4,11,5,6,1,0,19,0,0,3,1,6,4,4,3,0,4,2,34.715065,-86.73964,"Madison","South"
"8","AL","358",7,0,1,15,0,0,6,2,46,19,58,0,29,30,18,26,51,0,8,63,6,4,69,4,16,55,6,15,54,8,0,36,37,1,0,0,0,0,0,0,0,0,3,2,5,6,2,3,0,0,0,0,0,0,0,1,1,0,4,0,0,1,45,7,2,0,1,1,6,0,1,55,11,0,3,2,22,0,19,31,4,70,0,1,1,0,0,0,1,0,74,1,0,1,1,0,68,0,5,0,3,0,0,0,0,0,1,45,2,29,0,0,1,38,4,2,0,28,0,4,1,51,0,0,0,4,0,0,0,0,0,0,22,12,14,25,4,0,0,22,11,9,27,6,2,22,1,10,3,10,2,10,41,1,19,10,3,44,52,2,3,0,17,3,17,3,1,0,0,53,0,0,1,1,1,3,4,2,54,2,0,0,0,0,2,2,2,4,2,41,0,14,0,1,18,0,3,17,0,3,40,0,2,6,3,6,62,2,2,11,28,12,34,3,53,9,1,1,0,0,4,0,8,1,15,1,22,0,1,0,2,32,4,70,1,0,5,0,1,0,0,2,27,2,6,4,0,0,17,1,0,0,3,0,4,3,3,5,2,2,27,1,22,0,23,0,22,8,22,1,20,4,4,28,1,12,14,18,19,28,30,42,24,11,13,5,6,27,1,4,21,56,5,15,1,0,38,30,5,4,8,59,8,2,0,3,12,62,0,74,2,1,0,19,27,10,20,0,1,32,0,3,0,2,40,19,3,6,27,18,2,2,32,31,1,0,9,4,53,8,14,0,2,7,36,20,1,1,8,2,2,37,3,7,24,6,1,54,14,2,6,39,1,5,0,6,0,4,0,2,18,2,0,0,5,72,0,68,2,1,3,1,2,21,10,35,0,8,0,1,0,0,2,18,52,4,0,2,0,0,1,2,17,45,1,0,1,0,0,10,1,53,20,1,3,0,1,2,0,0,2,2,66,4,12,40,15,0,5,0,3,2,54,11,2,8,2,57,2,6,8,4,0,3,2,2,1,1,27,34,7,41,8,25,3,10,58,0,1,8,0,29,17,13,2,3,10,3,34.603017,-86.54293,"Huntsville","South"
"9","AL","359",1,0,0,2,0,0,2,1,8,4,10,0,5,6,3,8,6,0,0,14,0,0,14,0,3,11,0,1,13,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,1,0,1,0,2,0,0,10,0,0,0,3,7,0,1,3,1,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,7,1,6,0,0,0,7,3,0,0,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0,4,3,3,3,0,0,0,5,1,0,7,1,0,5,0,3,2,0,0,1,8,0,5,3,0,6,12,0,0,0,2,0,5,1,0,0,0,8,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1,1,1,0,7,0,0,0,0,7,0,0,3,0,0,6,0,0,3,1,1,10,0,0,4,5,3,6,0,5,2,0,0,0,0,1,0,3,3,2,0,8,0,0,0,0,3,1,10,0,0,3,0,0,1,0,0,8,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,4,0,2,0,5,1,2,0,5,0,6,0,1,5,0,3,4,1,4,7,3,13,1,0,0,2,0,3,2,0,7,8,0,6,0,0,7,5,0,2,1,11,1,1,0,1,1,12,2,11,1,0,0,2,7,1,4,0,0,8,0,0,0,0,6,3,1,4,3,3,0,0,5,7,0,0,2,0,9,3,0,1,1,2,6,1,0,0,5,0,0,3,0,3,5,3,0,11,2,0,1,3,1,2,0,2,0,0,0,1,5,0,0,0,1,13,0,14,0,0,0,0,0,4,1,8,0,0,0,0,0,0,1,3,9,2,0,0,0,0,0,1,2,8,0,0,0,0,0,1,2,11,3,0,0,0,0,1,0,0,0,0,12,1,3,8,3,0,0,0,0,0,13,0,1,0,0,10,0,2,1,0,1,1,0,1,0,0,5,5,2,8,0,5,1,3,10,0,0,1,0,9,1,1,1,0,2,0,34.016747,-85.99282,"Gadsden","South"
"10","AL","360",2,0,0,0,0,0,0,0,8,2,8,0,4,5,1,5,5,0,0,9,1,0,9,1,2,8,0,2,8,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,8,0,0,0,0,6,0,2,2,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,4,3,3,0,0,0,3,0,0,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,5,1,1,4,0,0,4,0,0,2,1,1,0,6,0,2,2,0,6,9,0,0,0,1,0,3,0,0,0,0,6,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,0,4,0,0,6,0,0,0,0,0,7,0,1,2,5,3,2,0,6,1,0,0,0,0,0,0,1,2,1,0,6,0,0,0,0,2,1,8,0,1,1,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,3,0,2,0,5,0,3,1,3,0,3,0,0,5,0,1,1,3,3,4,3,6,4,0,0,4,1,4,0,0,1,5,1,4,0,0,6,3,0,1,1,8,0,1,0,0,0,10,0,10,0,0,0,2,3,2,3,0,0,5,0,0,0,0,5,3,2,0,4,1,0,0,5,3,0,0,2,0,9,1,0,0,0,3,4,2,1,0,0,0,0,5,0,0,4,1,0,9,0,0,1,8,0,1,0,0,0,0,0,0,1,0,0,0,3,7,0,10,0,0,0,0,0,2,1,5,0,1,0,0,0,0,1,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10,0,4,5,1,0,0,0,0,0,9,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,6,4,0,8,0,2,0,5,5,0,0,0,0,7,0,3,0,0,0,0,31.876168,-85.17362,"Eufaula","South"
